Ngày,Giá mở cửa,Giá cao nhất,Giá thấp nhất,Giá đóng cửa,Thay đổi giá,% thay đổi,Khối lượng
21/11/2025,35000,35900,34900,34900,-350,-0.009899999999999999,3080100
20/11/2025,34600,35250,34250,35250,+800,0.0232,3612100
19/11/2025,34950,35450,34400,34450,-500,-0.0143,3145900
18/11/2025,35000,35050,34400,34950,,,3088000
17/11/2025,34000,35150,33700,34950,"+1,350",0.04019999999999999,4025700
14/11/2025,33500,34000,33450,33600,+50,0.0015,2155500
13/11/2025,33200,34200,33200,33550,+450,0.013600000000000001,4408900
12/11/2025,32800,33400,32450,33100,+800,0.0248,1955100
11/11/2025,32500,32900,31700,32300,-150,-0.0046,6915200
10/11/2025,33800,34000,32450,32450,"-1,400",-0.0414,4510000
07/11/2025,35700,35800,33800,33850,"-1,850",-0.0518,4394000
06/11/2025,35300,36150,35200,35700,+600,0.0171,6066000
05/11/2025,35800,35800,34900,35100,-550,-0.0154,2698700
04/11/2025,34000,35900,33300,35650,"+1,450",0.0424,6272300
03/11/2025,35000,35700,34200,34200,-800,-0.0229,5231900
31/10/2025,35600,35800,35000,35000,-500,-0.0141,3534200
30/10/2025,35200,35800,35100,35500,+450,0.0128,3595300
29/10/2025,34800,36000,34700,35050,+350,0.0101,4747800
28/10/2025,34000,34950,33550,34700,+250,0.0073,5039000
27/10/2025,34300,35250,34250,34450,+750,0.0223,7845200
24/10/2025,33500,34100,32950,33700,+100,0.003,4158500
23/10/2025,33800,34500,33450,33600,-200,-0.0059,4158600
22/10/2025,33300,34000,32800,33800,+550,0.0165,5264500
21/10/2025,33200,34100,32100,33250,-250,-0.0075,11823700
20/10/2025,35800,36350,33500,33500,"-2,500",-0.0694,15262800
17/10/2025,37300,37350,36000,36000,"-1,000",-0.027000000000000003,10936600
16/10/2025,35500,37050,35500,37000,"+2,050",0.0587,10266200
15/10/2025,35600,35850,34350,34950,-550,-0.0155,10231600
14/10/2025,37150,37150,35500,35500,"-1,200",-0.0327,9511500
13/10/2025,35100,37250,35100,36700,"+1,000",0.027999999999999997,10302900
10/10/2025,35450,36100,35200,35700,+750,0.0215,5746700
09/10/2025,35400,35700,34850,34950,-300,-0.0085,5546800
08/10/2025,35650,35900,34800,35250,+250,0.0070999999999999995,4835300
07/10/2025,36300,36450,35000,35000,"-1,000",-0.0278,4038100
06/10/2025,34900,36750,34900,36000,"+1,350",0.039,4000000
03/10/2025,34750,35500,34200,34650,-350,-0.01,7576100
02/10/2025,36750,36750,35000,35000,"-1,350",-0.0371,5613400
01/10/2025,36150,36800,36100,36350,+250,0.0069,2640400
30/09/2025,37350,37350,35950,36100,"-1,200",-0.0322,8567400
29/09/2025,37500,37700,37300,37300,-300,-0.008,4529800
26/09/2025,37000,38500,36700,37600,+700,0.019,9702600
25/09/2025,37500,38150,36900,36900,-200,-0.0054,8426500
24/09/2025,36400,37200,35950,37100,+500,0.0137,6279400
23/09/2025,36900,37000,36150,36600,-300,-0.008100000000000001,4051600
22/09/2025,36500,37200,35900,36900,+800,0.0222,6540600
19/09/2025,37250,37400,36100,36100,-600,-0.0163,5904800
18/09/2025,36700,37500,36550,36700,+100,0.0027,7121100
17/09/2025,38000,38250,36600,36600,"-1,400",-0.0368,8915000
16/09/2025,39450,39500,38000,38000,"-1,200",-0.030600000000000002,8831300
15/09/2025,39100,40300,38900,39200,+350,0.009000000000000001,6419900
12/09/2025,38500,39950,38400,38850,+550,0.0144,7583400
11/09/2025,37500,38850,36000,38300,+500,0.0132,12011200
10/09/2025,39000,39000,37600,37800,-550,-0.0143,7761300
09/09/2025,39100,39250,37700,38350,-650,-0.0167,13274300
08/09/2025,41700,41800,39000,39000,"-2,150",-0.052199999999999996,15707500
05/09/2025,40800,43100,40400,41150,+850,0.021099999999999997,23269800
04/09/2025,40000,41250,39650,40300,+700,0.0177,8054000
03/09/2025,39600,41850,39550,39600,-50,-0.0013,12051700
29/08/2025,41000,41000,39600,39650,-650,-0.0161,8734300
28/08/2025,39400,40550,38800,40300,"+1,000",0.0254,9054700
27/08/2025,40400,40400,39300,39300,-650,-0.0163,10372500
26/08/2025,38100,40000,37500,39950,"+1,300",0.0336,10862800
25/08/2025,42300,42300,38050,38650,"-2,150",-0.0527,12220100
22/08/2025,39000,41850,38500,40800,"+1,050",0.0264,22198700
21/08/2025,41850,42000,39700,39750,-350,-0.0087,13472100
20/08/2025,40050,40100,37500,40100,"+2,600",0.0693,32657400
19/08/2025,37500,37500,37500,37500,"+2,450",0.0699,8296200
18/08/2025,32800,35050,32650,35050,"+2,250",0.06860000000000001,11213600
15/08/2025,33800,33950,32000,32800,-750,-0.022400000000000003,8247800
14/08/2025,33800,34100,33200,33550,-250,-0.0074,5934300
13/08/2025,33700,34850,33550,33800,+250,0.0075,8069400
12/08/2025,33500,33750,32950,33550,+100,0.003,6429500
11/08/2025,33250,34200,32950,33450,+200,0.006,7389000
08/08/2025,34100,34100,32850,33250,-700,-0.0206,7580100
07/08/2025,34500,34500,33400,33950,+800,0.0241,7684300
06/08/2025,33000,33450,32400,33150,+700,0.0216,5834500
05/08/2025,31950,33750,30300,32450,+900,0.0285,23305300
04/08/2025,31500,31850,30900,31550,+50,0.0016,6570300
01/08/2025,32000,32250,31000,31500,-150,-0.004699999999999999,7246800
31/07/2025,30500,31700,29950,31650,"+2,000",0.0675,25721500
30/07/2025,29600,29950,28900,29650,+650,0.022400000000000003,6501000
29/07/2025,30900,30900,29000,29000,-950,-0.0317,10635100
28/07/2025,29500,30100,29200,29950,+750,0.025699999999999997,8496700
25/07/2025,28500,29250,28400,29200,+750,0.0264,8298000
24/07/2025,28700,28800,28200,28450,,,3391600
23/07/2025,28550,29000,28400,28450,,,4750400
22/07/2025,28150,28600,28100,28450,+100,0.0034999999999999996,3357400
21/07/2025,28700,28750,28150,28350,-100,-0.0034999999999999996,3380400
18/07/2025,28600,28700,28250,28450,+50,0.0018,5571000
17/07/2025,28300,28800,28150,28400,+200,0.0070999999999999995,6292300
16/07/2025,27900,28250,27900,28200,+100,0.0036,5140300
15/07/2025,28500,28600,28050,28100,-250,-0.0088,4889200
14/07/2025,27700,28450,27500,28350,+850,0.030899999999999997,8075700
11/07/2025,27400,27650,27150,27500,+100,0.0036,7142000
10/07/2025,27800,27950,27400,27400,-350,-0.0126,5259400
09/07/2025,27500,27950,27450,27750,+250,0.0091,9304400
08/07/2025,27300,27800,27250,27500,+550,0.0204,11341600
07/07/2025,27000,27250,26550,26950,+150,0.005600000000000001,5610200
04/07/2025,26500,26800,26450,26800,+200,0.0075,3321200
03/07/2025,26800,27000,26100,26600,-550,-0.0203,14047700
02/07/2025,26450,27200,26300,27150,+900,0.034300000000000004,9778700
01/07/2025,26550,27050,26250,26250,-500,-0.0187,5174300
30/06/2025,26500,26750,26250,26750,+300,0.0113,6810600
27/06/2025,26650,26750,26350,26450,,,6432900
26/06/2025,25800,26700,25800,26450,+700,0.027200000000000002,10257000
25/06/2025,25950,26200,25700,25750,-50,-0.0019,4444800
24/06/2025,26150,26250,25750,25800,-250,-0.0096,7248300
23/06/2025,25250,26300,25150,26050,+300,0.011699999999999999,8613400
20/06/2025,25650,25850,25500,25750,+100,0.0039000000000000003,6209700
19/06/2025,24950,25750,24950,25650,+750,0.0301,8173000
18/06/2025,25050,25250,24900,24900,-300,-0.011899999999999999,3661900
17/06/2025,25450,25450,25100,25200,-50,-0.002,3496400
16/06/2025,24150,25250,24150,25250,+850,0.0348,3444500
13/06/2025,25300,25300,24150,24400,-900,-0.0356,7075800
12/06/2025,24950,25300,24900,25300,+600,0.024300000000000002,4146400
11/06/2025,25150,25300,24650,24700,-300,-0.012,3575700
10/06/2025,25000,25350,24900,25000,+50,0.002,3171600
09/06/2025,25550,25650,24850,24950,-550,-0.0216,6413400
06/06/2025,26300,26350,25500,25500,-800,-0.0304,6234000
05/06/2025,26200,26500,26050,26300,+150,0.005699999999999999,5016000
04/06/2025,26450,26650,26050,26150,-300,-0.0113,7867500
03/06/2025,26400,26600,26300,26450,+150,0.005699999999999999,5097000
02/06/2025,25850,26600,25850,26300,,,4743700
30/05/2025,27100,27100,26300,26300,-650,-0.0241,6096500
29/05/2025,27400,27650,26900,26950,+50,0.0019,9999100
28/05/2025,27250,27500,26850,26900,-350,-0.0128,7132900
27/05/2025,27700,27700,27150,27250,-50,-0.0018,8040800
26/05/2025,26650,27300,25500,27300,+800,0.0302,12145100
23/05/2025,26400,26700,26350,26500,,,4764700
22/05/2025,26600,27100,26350,26500,+50,0.0019,9721300
21/05/2025,27150,27150,26350,26450,-450,-0.0167,7522600
20/05/2025,27100,27400,26900,26900,+150,0.005600000000000001,8589400
19/05/2025,26400,26750,25950,26750,+900,0.0348,14882400
16/05/2025,25600,25900,25300,25850,+250,0.0098,6942000
15/05/2025,26000,26050,25600,25600,-400,-0.0154,4836700
14/05/2025,25850,26000,25400,26000,+150,0.0058,6178300
13/05/2025,25450,25900,25150,25850,+800,0.0319,7859600
12/05/2025,24250,25100,24050,25050,+850,0.0351,10467800
09/05/2025,24550,24600,24150,24200,-350,-0.0143,5053900
08/05/2025,24400,24700,24000,24550,+250,0.0103,9715500
07/05/2025,23350,24350,23300,24300,+800,0.034,10973900
06/05/2025,23900,23900,23300,23500,-150,-0.0063,5694100
05/05/2025,23350,23650,23050,23650,+850,0.0373,6412500
29/04/2025,22500,22800,22200,22800,+300,0.013300000000000001,5821100
28/04/2025,22800,22800,22300,22500,-300,-0.0132,5385900
25/04/2025,22800,22850,22300,22800,+50,0.0022,6512200
24/04/2025,22000,23000,21900,22750,+850,0.0388,12179300
23/04/2025,21700,21950,21250,21900,+550,0.0258,7590900
22/04/2025,21300,21500,20300,21350,-450,-0.0206,21432600
21/04/2025,22000,22100,21250,21800,,,9236200
18/04/2025,22750,22750,21800,21800,+300,0.013999999999999999,8846200
17/04/2025,20100,21550,20050,21500,+900,0.0437,16998700
16/04/2025,22150,22500,20600,20600,"-1,500",-0.0679,21089800
15/04/2025,23550,23600,22100,22100,"-1,650",-0.0695,21594800
14/04/2025,25000,25050,23550,23750,+50,0.0021,10973100
11/04/2025,22800,23950,22050,23700,,,35620300
10/04/2025,23700,23700,23000,23700,"+1,550",0.07,11405400
09/04/2025,22150,22150,22150,22150,"-1,650",-0.0693,1402400
08/04/2025,23800,23800,23800,23800,"-1,750",-0.06849999999999999,2164800
04/04/2025,25550,25550,25550,25550,"-1,900",-0.0692,1147700
03/04/2025,27450,27800,27450,27450,"-2,050",-0.0695,9568500
02/04/2025,30800,30800,29500,29500,"-1,050",-0.0344,12240300
01/04/2025,30650,30950,30350,30550,-100,-0.0033,4220500
31/03/2025,29800,31300,29800,30650,+750,0.025099999999999997,16190500
28/03/2025,29650,30200,29500,29900,+350,0.0118,8201200
27/03/2025,29600,29700,29300,29550,+100,0.0034000000000000002,2175800
26/03/2025,29950,29950,29400,29450,-400,-0.0134,2134400
25/03/2025,29700,30000,29500,29850,+650,0.0223,4759800
24/03/2025,29200,29400,29100,29200,,,3031700
21/03/2025,29500,29750,29200,29200,-450,-0.0152,3994600
20/03/2025,30000,30050,29300,29650,-150,-0.005,2637900
19/03/2025,29650,30250,29550,29800,+350,0.011899999999999999,6260400
18/03/2025,29900,29950,29450,29450,-300,-0.0101,3192500
17/03/2025,29750,29750,29300,29750,+350,0.011899999999999999,2604200
14/03/2025,29600,29700,29350,29400,-150,-0.0051,4036700
13/03/2025,30200,30300,29550,29550,-750,-0.0248,6198200
12/03/2025,30400,30450,30050,30300,,,2903800
11/03/2025,29850,30300,29750,30300,+150,0.005,5215400
10/03/2025,30350,30600,30050,30150,-150,-0.005,4867000
07/03/2025,30750,31200,30300,30300,-150,-0.0049,5593000
06/03/2025,30200,30450,30150,30450,+250,0.0083,4451900
05/03/2025,30600,30650,30100,30200,-400,-0.0131,4934500
04/03/2025,30100,30800,30000,30600,+500,0.0166,7359900
03/03/2025,29750,30350,29650,30100,+400,0.013500000000000002,4685200
28/02/2025,29950,30200,29650,29700,-200,-0.0067,4584000
27/02/2025,29700,29900,29400,29900,+250,0.0084,3391600
26/02/2025,29600,30400,29600,29650,+50,0.0017000000000000001,8179400
25/02/2025,29900,30150,29600,29600,-200,-0.0067,4189500
24/02/2025,29450,29800,29100,29800,+350,0.011899999999999999,4128100
21/02/2025,29650,30000,29450,29450,-350,-0.011699999999999999,4294500
20/02/2025,30350,30350,29750,29800,-350,-0.0116,3873800
19/02/2025,29200,30350,29150,30150,+950,0.0325,11422700
18/02/2025,29500,29700,29200,29200,-250,-0.0085,3716100
17/02/2025,29700,29750,29400,29450,-100,-0.0034000000000000002,4068500
14/02/2025,28950,29600,28800,29550,+750,0.026000000000000002,8111600
13/02/2025,28950,29150,28750,28800,-200,-0.0069,1539900
12/02/2025,28950,29450,28900,29000,+100,0.0034999999999999996,4406300
11/02/2025,28500,28950,28250,28900,+450,0.0158,3551700
10/02/2025,29050,29050,28450,28450,-650,-0.0223,4892500
07/02/2025,29250,29500,29050,29100,-250,-0.0085,2303100
06/02/2025,29500,29550,29000,29350,-50,-0.0017000000000000001,3784800
05/02/2025,29750,29850,29400,29400,-300,-0.0101,3323800
04/02/2025,29300,29850,29250,29700,+300,0.0102,4297600
03/02/2025,29000,29400,28600,29400,+400,0.0138,4005100
24/01/2025,29350,29350,28700,29000,-400,-0.013600000000000001,4063300
23/01/2025,28900,29400,28700,29400,+450,0.0155,4575600
22/01/2025,29150,29250,28500,28950,-400,-0.013600000000000001,7447300
21/01/2025,29400,29550,29100,29350,-200,-0.0068000000000000005,4359700
20/01/2025,29850,30300,29300,29550,-300,-0.0101,4708500
17/01/2025,29950,30100,29700,29850,-50,-0.0017000000000000001,3740000
16/01/2025,29900,29950,29500,29900,,,5059800
15/01/2025,28900,29900,28900,29900,+950,0.032799999999999996,10247200
14/01/2025,28450,29300,28450,28950,+700,0.0248,7099600
13/01/2025,28300,28400,27650,28250,-50,-0.0018,3433800
10/01/2025,28500,28850,28200,28300,,,4972800
09/01/2025,28150,28500,28150,28300,+150,0.0053,2706200
08/01/2025,28250,28300,28050,28150,+100,0.0036,1982200
07/01/2025,27300,28500,27300,28050,+900,0.0331,8651800
06/01/2025,27300,27650,27100,27150,,,3047400
03/01/2025,27350,27400,27000,27150,-250,-0.0091,2127000
02/01/2025,27250,27550,27050,27400,+200,0.0074,2213300
31/12/2024,27250,27350,27000,27200,-50,-0.0018,3004100
30/12/2024,27650,27650,27250,27250,-400,-0.014499999999999999,2475800
27/12/2024,27500,27750,27300,27650,+100,0.0036,3480700
